ЧАСТОТНЫЙ АНАЛИЗ ТЕКСТА
Всего символов: 812

Символ | Кол-во | Частота
------------------------------
       |     97 | 0.1195
О      |     80 | 0.0985
И      |     67 | 0.0825
Т      |     57 | 0.0702
Е      |     57 | 0.0702
А      |     50 | 0.0616
Н      |     48 | 0.0591
С      |     32 | 0.0394
Р      |     32 | 0.0394
В      |     31 | 0.0382
Л      |     26 | 0.0320
М      |     24 | 0.0296
K      |     22 | 0.0271
П      |     18 | 0.0222
Ы      |     17 | 0.0209
Д      |     15 | 0.0185
З      |     13 | 0.0160
Я      |     13 | 0.0160
Ь      |     13 | 0.0160
Х      |     12 | 0.0148
Б      |     10 | 0.0123
У      |     10 | 0.0123
Й      |      9 | 0.0111
Г      |      9 | 0.0111
Ч      |      9 | 0.0111
\n     |      9 | 0.0111
Ф      |      8 | 0.0099
Э      |      6 | 0.0074
Ю      |      6 | 0.0074
Ш      |      4 | 0.0049
Ц      |      4 | 0.0049
Ж      |      3 | 0.0037
Щ      |      1 | 0.0012
