Предполагаемое соответствие символ -> буква
Символ (в тексте) | Частота (текст) | Буква (базовая) | Частота (базовая)
------------------|------------------|-----------------|-------------------
7                | 0.124138        | пробел          | 0.128675
G                | 0.086207        | О               | 0.096456
=                | 0.081609        | И               | 0.075312
Й                | 0.067816        | Е               | 0.072292
Ё                | 0.063218        | А               | 0.064841
N                | 0.060920        | Н               | 0.061820
J                | 0.047126        | Т               | 0.061619
Р                | 0.045977        | С               | 0.051953
R                | 0.045977        | Р               | 0.040677
F                | 0.037931        | В               | 0.039267
Z                | 0.032184        | М               | 0.029803
ю                | 0.027586        | Л               | 0.029400
О                | 0.024138        | Д               | 0.026983
И                | 0.024138        | Я               | 0.026379
Т                | 0.021839        | К               | 0.025977
\n               | 0.021839        | П               | 0.024768
Q                | 0.020690        | З               | 0.015908
s                | 0.019540        | Ы               | 0.015707
Ж                | 0.019540        | Ь               | 0.015103
%                | 0.014943        | У               | 0.013290
К                | 0.013793        | Ч               | 0.011679
1                | 0.013793        | Ж               | 0.010673
i                | 0.011494        | Г               | 0.009867
9                | 0.010345        | Х               | 0.008659
г                | 0.009195        | Ф               | 0.007249
П                | 0.008046        | Й               | 0.006847
U                | 0.008046        | Ю               | 0.006847
Х                | 0.008046        | Б               | 0.006645
у                | 0.008046        | Ц               | 0.005034
Я                | 0.006897        | Ш               | 0.004229
@                | 0.005747        | Щ               | 0.003625
3                | 0.005747        | Э               | 0.002416
Д                | 0.002299        | Ъ               | 0.000000
