Символ | Частота
-------|-------------------
7      | 0.124138
G      | 0.086207
=      | 0.081609
Й      | 0.067816
Ё      | 0.063218
N      | 0.060920
J      | 0.047126
Р      | 0.045977
R      | 0.045977
F      | 0.037931
Z      | 0.032184
ю      | 0.027586
О      | 0.024138
И      | 0.024138
Т      | 0.021839
\n     | 0.021839
Q      | 0.020690
s      | 0.019540
Ж      | 0.019540
%      | 0.014943
К      | 0.013793
1      | 0.013793
i      | 0.011494
9      | 0.010345
г      | 0.009195
П      | 0.008046
U      | 0.008046
Х      | 0.008046
у      | 0.008046
Я      | 0.006897
@      | 0.005747
3      | 0.005747
Д      | 0.002299
Y      | 0.001149
