Символ | Частота
--------------------
  2    | 0.118441
  К    | 0.091454
  Ь    | 0.089955
  t    | 0.068966
  Ы    | 0.061469
  r    | 0.059970
  Д    | 0.059970
  >    | 0.053973
  О    | 0.052474
  <    | 0.038981
       | 0.035982
  Б    | 0.026987
  Й    | 0.025487
  Я    | 0.023988
  1    | 0.023988
  Ч    | 0.020990
  М    | 0.017991
  0    | 0.017991
  Х    | 0.010495
  А    | 0.010495
  a    | 0.010495
  Л    | 0.008996
  8    | 0.007496
  Е    | 0.007496
  c    | 0.007496
  3    | 0.005997
  ,    | 0.005997
  .    | 0.004498
  b    | 0.004498
  9    | 0.002999
  Ф    | 0.001499
  ?    | 0.001499
