СТАТИСТИКА ЧАСТОТ
========================================
Символ | Частота
----------------------------------------
z            | 0.110204
g            | 0.086531
у            | 0.085714
3            | 0.069388
х          | 0.066939
f            | 0.059592
д            | 0.058776
т            | 0.054694
y            | 0.050612
u            | 0.035918
г            | 0.033469
я            | 0.031020
%            | 0.027755
7            | 0.026122
=            | 0.023673
1            | 0.022857
r            | 0.022857
i            | 0.021224
n            | 0.021224
s            | 0.016327
и            | 0.016327
j            | 0.010612
ё            | 0.008163
9            | 0.007347
р            | 0.006531
ю            | 0.006531
к            | 0.005714
@            | 0.004898
ж            | 0.004082
й            | 0.003265
<            | 0.001633
========================================
Количество символов: 1225
