Символ | Кол-во | Частота (%)
------------------------------
C       |     71 |  13.92
А       |     52 |  10.20
Х       |     46 |   9.02
8       |     37 |   7.25
М       |     36 |   7.06
R       |     30 |   5.88
Л       |     28 |   5.49
О       |     23 |   4.51
2       |     21 |   4.12
B       |     19 |   3.73
Е       |     16 |   3.14
К       |     16 |   3.14
Б       |     13 |   2.55
Д       |     13 |   2.55
Р       |     13 |   2.55
7       |     11 |   2.16
4       |      9 |   1.76
T       |      8 |   1.57
<       |      8 |   1.57
1       |      7 |   1.37
Ф       |      7 |   1.37
У       |      5 |   0.98
>       |      4 |   0.78
5       |      3 |   0.59
?       |      3 |   0.59
Ч       |      2 |   0.39
И       |      2 |   0.39
П       |      2 |   0.39
A       |      2 |   0.39
Й       |      1 |   0.20
Ь       |      1 |   0.20
Ы       |      1 |   0.20
