Символ | Частота
---------------
M      | 0.10949
Z      | 0.08597
R      | 0.08516
$      | 0.06894
!      | 0.06650
Y      | 0.05921
I      | 0.05839
d      | 0.05434
9      | 0.05028
P      | 0.03569
-      | 0.03325
h      | 0.03082
G      | 0.02758
V      | 0.02595
W      | 0.02352
C      | 0.02271
F      | 0.02271
>      | 0.02109
S      | 0.02109
K      | 0.01622
L      | 0.01622
Q      | 0.01054
O      | 0.00811
A      | 0.00730
n      | 0.00649
'\n'   | 0.00649
B      | 0.00649
J      | 0.00568
E      | 0.00487
t      | 0.00406
U      | 0.00324
3      | 0.00162

