Таблица частот символов в зашифрованном тексте
Символ | Частота
------------------------------
A     | 0.119403
Y     | 0.099502
-     | 0.074627
J     | 0.070896
$     | 0.070896
L     | 0.062189
S     | 0.059701
Q     | 0.039801
I     | 0.039801
x     | 0.038557
O     | 0.032338
t     | 0.029851
K     | 0.027363
G     | 0.022388
3     | 0.021144
8     | 0.018657
!     | 0.016169
R     | 0.016169
F     | 0.016169
d     | 0.014925
h     | 0.012438
W     | 0.012438
=     | 0.011194
Z     | 0.011194
n     | 0.011194

     | 0.011194
U     | 0.009950
C     | 0.007463
B     | 0.007463
E     | 0.004975
>     | 0.004975
M     | 0.003731
9     | 0.001244
