КЛЮЧ ШИФРОВАНИЯ (моноалфавитная замена):
Исходная буква -> Зашифрованная буква
----------------------------------------
ПРОБЕЛ -> Ц
А      -> М
Б      -> Б
В      -> Ф
Г      -> А
Д      -> К
Е      -> Ж
Ж      -> Ь
З      -> Т
И      -> Ъ
Й      -> Р
К      -> П
Л      -> С
М      -> Э
Н      -> Щ
О      -> Н
П      -> ПРОБЕЛ
Р      -> И
С      -> Д
Т      -> Й
У      -> У
Ф      -> З
Х      -> Г
Ц      -> О
Ч      -> Ш
Ш      -> Х
Щ      -> Ч
Ъ      -> Е
Ы      -> Ы
Ь      -> В
Э      -> Я
Ю      -> Ю
Я      -> Л
