Символ | Частота | Процент
------------------------------
О      |   105   | 12.59%
7      |    85   | 10.19%
Q      |    65   | 7.79%
Ё      |    60   | 7.19%
Ж      |    55   | 6.59%
П      |    49   | 5.88%
Я      |    49   | 5.88%
U      |    46   | 5.52%
Х      |    34   | 4.08%
=      |    29   | 3.48%
1      |    29   | 3.48%
Т      |    24   | 2.88%
К      |    22   | 2.64%
у      |    21   | 2.52%
Д      |    20   | 2.40%
Р      |    20   | 2.40%
И      |    14   | 1.68%
<      |    14   | 1.68%
ю      |    14   | 1.68%
%      |    11   | 1.32%
N      |     8   | 0.96%
9      |     8   | 0.96%
Й      |     8   | 0.96%
Z      |     7   | 0.84%
Y      |     7   | 0.84%
s      |     7   | 0.84%
R      |     6   | 0.72%
i      |     6   | 0.72%
3      |     6   | 0.72%
F      |     3   | 0.36%
г      |     1   | 0.12%
G      |     1   | 0.12%
