Символ -> Частота -> Количество
-----------------------------------
>        -> 0.125960 -> 82
2        -> 0.122888 -> 80
a        -> 0.078341 -> 51
А        -> 0.072197 -> 47
7        -> 0.061444 -> 40
О        -> 0.056836 -> 37
r        -> 0.053763 -> 35
1        -> 0.053763 -> 35
Р        -> 0.046083 -> 30
' '      -> 0.039939 -> 26
Ф        -> 0.035330 -> 23
Е        -> 0.032258 -> 21
Х        -> 0.027650 -> 18
Д        -> 0.026114 -> 17
9        -> 0.024578 -> 16
У        -> 0.023041 -> 15
3        -> 0.013825 -> 9
b        -> 0.012289 -> 8
t        -> 0.012289 -> 8
<        -> 0.012289 -> 8
0        -> 0.010753 -> 7
8        -> 0.007680 -> 5
Ы        -> 0.007680 -> 5
Я        -> 0.007680 -> 5
М        -> 0.006144 -> 4
Й        -> 0.006144 -> 4
Л        -> 0.004608 -> 3
c        -> 0.004608 -> 3
Б        -> 0.004608 -> 3
Ь        -> 0.004608 -> 3
К        -> 0.003072 -> 2
И        -> 0.001536 -> 1
