Символ | Частота
-----------------
  G    | 0.111354
  %    | 0.080786
  ю    | 0.079694
  Т    | 0.077511
  3    | 0.077511
  s    | 0.075328
  Ж    | 0.073144
  Я    | 0.051310
  =    | 0.049127
  9    | 0.034934
  г    | 0.031659
  И    | 0.028384
  @    | 0.027293
  К    | 0.026201
  i    | 0.026201
  Ё    | 0.016376
  Р    | 0.015284
  F    | 0.014192
  1    | 0.014192
  N    | 0.013100
  у    | 0.012009
  Й    | 0.012009
  Q    | 0.010917
  R    | 0.008734
  Х    | 0.008734
  J    | 0.007642
  П    | 0.005459
  <    | 0.004367
  7    | 0.004367
  О    | 0.001092
  Y    | 0.001092
