ТАБЛИЦА ЧАСТОТ СИМВОЛОВ ЗАШИФРОВАННОГО ТЕКСТА
Символ       Частота         Процент      Стандартная    
'z'          0.149373        14.94       % 0.000000       
'P'          0.087799        8.78        % 0.000000       
'/'          0.085519        8.55        % 0.000000       
'9'          0.061574        6.16        % 0.000000       
'O'          0.060433        6.04        % 0.000000       
'Q'          0.051311        5.13        % 0.000000       
't'          0.050171        5.02        % 0.000000       
'3'          0.043330        4.33        % 0.000000       
'N'          0.041049        4.10        % 0.000000       
'R'          0.038769        3.88        % 0.000000       
'1'          0.036488        3.65        % 0.000000       
'm'          0.033067        3.31        % 0.000000       
'f'          0.033067        3.31        % 0.000000       
'2'          0.031927        3.19        % 0.000000       
'W'          0.018244        1.82        % 0.000000       
'x'          0.017104        1.71        % 0.000000       
'\'          0.014823        1.48        % 0.000000       
'
'          0.014823        1.48        % 0.000000       
'I'          0.014823        1.48        % 0.000000       
'`'          0.013683        1.37        % 0.000000       
';'          0.013683        1.37        % 0.000000       
'8'          0.012543        1.25        % 0.000000       
's'          0.011403        1.14        % 0.000000       
'0'          0.010262        1.03        % 0.000000       
'?'          0.007982        0.80        % 0.000000       
'E'          0.006842        0.68        % 0.000000       
'c'          0.006842        0.68        % 0.000000       
'k'          0.005701        0.57        % 0.000000       
'7'          0.005701        0.57        % 0.000000       
'6'          0.004561        0.46        % 0.000000       
'd'          0.004561        0.46        % 0.000000       
'5'          0.004561        0.46        % 0.000000       
'-'          0.003421        0.34        % 0.000000       
' '          0.002281        0.23        % 0.128675       
'4'          0.001140        0.11        % 0.000000       
'v'          0.001140        0.11        % 0.000000       
Всего символов: 36
