ТАБЛИЦА ЧАСТОТ СИМВОЛОВ ЗАШИФРОВАННОГО ТЕКСТА
Символ       Частота         Процент      Стандартная    
'Х'          0.132855        13.29       % 0.008659       
' '          0.086176        8.62        % 0.128675       
'Е'          0.078995        7.90        % 0.072292       
'Д'          0.073609        7.36        % 0.026983       
'Ч'          0.064632        6.46        % 0.011679       
'Ы'          0.055655        5.57        % 0.015707       
't'          0.046679        4.67        % 0.000000       
'Й'          0.046679        4.67        % 0.006847       
'1'          0.039497        3.95        % 0.000000       
'2'          0.034111        3.41        % 0.000000       
'7'          0.030521        3.05        % 0.000000       
'И'          0.026930        2.69        % 0.075312       
'Б'          0.026930        2.69        % 0.006645       
'Я'          0.026930        2.69        % 0.026379       
'Щ'          0.025135        2.51        % 0.003625       
'>'          0.023339        2.33        % 0.000000       
'
'          0.023339        2.33        % 0.000000       
'r'          0.019749        1.97        % 0.000000       
'К'          0.016158        1.62        % 0.025977       
'w'          0.016158        1.62        % 0.000000       
'Ф'          0.016158        1.62        % 0.007249       
'Ъ'          0.014363        1.44        % 0.000000       
'Ь'          0.012567        1.26        % 0.015103       
'Л'          0.010772        1.08        % 0.029400       
'М'          0.010772        1.08        % 0.029803       
'У'          0.008977        0.90        % 0.013290       
'4'          0.007181        0.72        % 0.000000       
'О'          0.007181        0.72        % 0.096456       
'5'          0.005386        0.54        % 0.000000       
'П'          0.005386        0.54        % 0.024768       
'А'          0.003591        0.36        % 0.064841       
'-'          0.001795        0.18        % 0.000000       
'8'          0.001795        0.18        % 0.000000       
Всего символов: 33
