ТАБЛИЦА ЧАСТОТ СИМВОЛОВ ЗАШИФРОВАННОГО ТЕКСТА
Символ       Частота         Процент     
'z'          0.149373        14.94       %
'P'          0.087799        8.78        %
'/'          0.085519        8.55        %
'9'          0.061574        6.16        %
'O'          0.060433        6.04        %
'Q'          0.051311        5.13        %
't'          0.050171        5.02        %
'3'          0.043330        4.33        %
'N'          0.041049        4.10        %
'R'          0.038769        3.88        %
'1'          0.036488        3.65        %
'm'          0.033067        3.31        %
'f'          0.033067        3.31        %
'2'          0.031927        3.19        %
'W'          0.018244        1.82        %
'x'          0.017104        1.71        %
'\'          0.014823        1.48        %
'
'          0.014823        1.48        %
'I'          0.014823        1.48        %
'`'          0.013683        1.37        %
';'          0.013683        1.37        %
'8'          0.012543        1.25        %
's'          0.011403        1.14        %
'0'          0.010262        1.03        %
'?'          0.007982        0.80        %
'E'          0.006842        0.68        %
'c'          0.006842        0.68        %
'k'          0.005701        0.57        %
'7'          0.005701        0.57        %
'6'          0.004561        0.46        %
'd'          0.004561        0.46        %
'5'          0.004561        0.46        %
'-'          0.003421        0.34        %
''          0.002281        0.23        %
'4'          0.001140        0.11        %
'v'          0.001140        0.11        %
Всего уникальных символов: 36
Всего символов в тексте: 877
