Алфавит: АБВГДЕЁЖЗИЙКЛМНОПРСТУФХЦЧШЩЪЫЬЭЮЯабвгдеёжзийклмнопрстуфхцчшщъыьэюя 
Размер стороны квадрата: 9
Квадрат:
А: 11
Б: 12
В: 13
Г: 14
Д: 15
Е: 16
Ё: 17
Ж: 18
З: 19
И: 21
Й: 22
К: 23
Л: 24
М: 25
Н: 26
О: 27
П: 28
Р: 29
С: 31
Т: 32
У: 33
Ф: 34
Х: 35
Ц: 36
Ч: 37
Ш: 38
Щ: 39
Ъ: 41
Ы: 42
Ь: 43
Э: 44
Ю: 45
Я: 46
а: 47
б: 48
в: 49
г: 51
д: 52
е: 53
ё: 54
ж: 55
з: 56
и: 57
й: 58
к: 59
л: 61
м: 62
н: 63
о: 64
п: 65
р: 66
с: 67
т: 68
у: 69
ф: 71
х: 72
ц: 73
ч: 74
ш: 75
щ: 76
ъ: 77
ы: 78
ь: 79
э: 81
ю: 82
я: 83
 : 84
