СИМВОЛ - ЧАСТОТА
'-' - 0.113586
'e' - 0.083519
'0' - 0.082405
'2' - 0.082405
'6' - 0.065702
'n' - 0.061247
'i' - 0.061247
'w' - 0.055679
'm' - 0.041203
'8' - 0.036748
'q' - 0.035635
'r' - 0.031180
'5' - 0.030067
'\' - 0.025612
'3' - 0.022272
'/' - 0.021158
';' - 0.020045
'`' - 0.017817
's' - 0.015590
'7' - 0.015590
't' - 0.014477
'1' - 0.012249
'k' - 0.010022
'o' - 0.008909
'z' - 0.008909
'c' - 0.007795
'p' - 0.005568
'f' - 0.003341
'd' - 0.003341
'9' - 0.003341
'x' - 0.001114
'4' - 0.001114
'?' - 0.001114
