1	о	0,10983	10,983%
2	е	0,08483	8,483%
3	а	0,07998	7,998%
4	и	0,07367	7,367%
5	н	0,067	6,7%
6	т	0,06318	6,318%
7	с	0,05473	5,473%
8	р	0,04746	4,746%
9	в	0,04533	4,533%
10	л	0,04343	4,343%
11	к	0,03486	3,486%
12	м	0,03203	3,203%
13	д	0,02977	2,977%
14	п	0,02804	2,804%
15	у	0,02615	2,615%
16	я	0,02001	2,001%
17	ы	0,01898	1,898%
18	ь	0,01735	1,735%
19	г	0,01687	1,687%
20	з	0,01641	1,641%
21	б	0,01592	1,592%
22	ч	0,0145	1,45%
23	й	0,01208	1,208%
24	х	0,00966	0,966%
25	ж	0,0094	0,94%
26	ш	0,00718	0,718%
27	ю	0,00639	0,638%
28	ц	0,00486	0,486%
29	щ	0,00361	0,361%
30	э	0,00331	0,331%
31	ф	0,00267	0,267%
32	ъ	0,00037	0,037%
33	ё	0,00013	0,013%
