Частотный анализ текста
Символ | Кол-во | Частота
  Я       |     57 | 0.132867
  Д       |     36 | 0.083916
  4       |     33 | 0.076923
  М       |     29 | 0.067599
  t       |     29 | 0.067599
  (пробел) |     26 | 0.060606
  О       |     22 | 0.051282
  Р       |     22 | 0.051282
  П       |     15 | 0.034965
  Б       |     14 | 0.032634
  К       |     12 | 0.027972
  Л       |     12 | 0.027972
  5       |     12 | 0.027972
  2       |     11 | 0.025641
  Ь       |      9 | 0.020979
  (перенос) |      9 | 0.020979
  Ъ       |      8 | 0.018648
  Щ       |      8 | 0.018648
  У       |      8 | 0.018648
  Й       |      7 | 0.016317
  Х       |      6 | 0.013986
  Т       |      6 | 0.013986
  >       |      6 | 0.013986
  Е       |      5 | 0.011655
  r       |      5 | 0.011655
  И       |      4 | 0.009324
  1       |      4 | 0.009324
  Ы       |      4 | 0.009324
  А       |      4 | 0.009324
  Ц       |      2 | 0.004662
  Ч       |      1 | 0.002331
  w       |      1 | 0.002331
  Ф       |      1 | 0.002331
  ?       |      1 | 0.002331
