Статистика символов

Всего: 656, Уникальных: 33

Символ           | Кол-во | Частота
2                |     79 | 0.1204
К                |     61 | 0.0930
Ь                |     60 | 0.0915
t                |     46 | 0.0701
Ы                |     41 | 0.0625
r                |     40 | 0.0610
Д                |     40 | 0.0610
>                |     36 | 0.0549
О                |     35 | 0.0534
<                |     26 | 0.0396
Б                |     18 | 0.0274
Й                |     17 | 0.0259
Я                |     16 | 0.0244
1                |     16 | 0.0244
Ч                |     14 | 0.0213
ПЕРЕВОД СТРОКИ   |     14 | 0.0213
ПРОБЕЛ           |     13 | 0.0198
М                |     12 | 0.0183
0                |     12 | 0.0183
Х                |      7 | 0.0107
А                |      7 | 0.0107
a                |      7 | 0.0107
Л                |      6 | 0.0091
8                |      5 | 0.0076
Е                |      5 | 0.0076
c                |      5 | 0.0076
3                |      4 | 0.0061
,                |      4 | 0.0061
.                |      3 | 0.0046
b                |      3 | 0.0046
9                |      2 | 0.0030
Ф                |      1 | 0.0015
?                |      1 | 0.0015
